topic_idx 0,membrane,water,draw,forward,osmosis,technol,struvite,distillation,flux,recovery,wastewater,hybrid,process,nutrient,fouling
topic_idx 1,wastewater,struvite,tank,reactor,treatment,upstream,embodiments,injected,piping,device,invention,formation,reaction,injection,effluent
topic_idx 2,digest,acid,organic,calcined,calcite,calcium,digester,phosphate,anaerobic,phosphorus,process,phosphates,thermophilic,carbonate,precipitated
topic_idx 3,digestate,processing,fraction,process,techniques,liquid,ammonia,treatment,enhancement,technique,digestion,manure,solid,nutrient,content
topic_idx 4,biosolids,recovery,resource,energy,wastewater,research,nutrient,management,state,water,technologies,treatment,knowledge,potential,biogas
topic_idx 5,sludge,phosphorus,process,stuttgart,struvite,dissolution,recovery,plant,product,wwtp,operation,digested,sewage,water,reactor
topic_idx 6,scope,stuttgart,dissolution,technique,techniques,plant,fertiliser,recovery,tank,sewage,acid,regarding,fraction,nutrients,manure
topic_idx 7,fertiliser,criteria,struvite,regulation,organic,contaminants,content,recovered,matter,limit,waste,inorganic,fertilisers,proposed,substrate
topic_idx 8,silica,step,phosphate,fluoride,removal,wastewater,membrane,according,embodiments,ammonia,method,pond,recovery,stage,polishing
topic_idx 9,tank,section,wastewater,embodiments,reactor,cross,flow,reaction,outlet,path,inlet,comprises,located,velocity,fluid
